ID,Masina,Probabilitate
54,Fiat 500,0.0
55,Fiat Doblo,0.0
56,Fiat Tipo,0.0
31,BMW X3,0.0
29,BMW X1,0.0
58,Ford C-Max,0.0
14,Audi Q7,0.0
2,Audi A1,0.0
4,Audi A4,0.0
5,Audi A4 Allroad,0.0
6,Audi A5,0.0
7,Audi A6,0.0
8,Audi A6 Allroad,0.0
9,Audi A7,0.0
10,Audi A8,0.0
11,Audi Q2,0.0
12,Audi Q3,0.0
13,Audi Q5,0.0
15,Audi Q8,0.0
28,BMW Seria 8,0.0
16,Audi S6,0.0
17,Audi S7,0.0
18,Audi SQ5,0.0
19,BMW M3,0.0
20,BMW M5,0.0
21,BMW Seria 1,0.0
23,BMW Seria 3,0.0
24,BMW Seria 4,0.0
25,BMW Seria 5,0.0
26,BMW Seria 6,0.0
27,BMW Seria 7,0.0
57,Ford B-Max,0.0
59,Ford EcoSport,0.0
118,Mercedes-Benz GLC Coupe,0.0
105,Mazda CX-30,0.0
92,Land Rover Discovery,0.0
93,Land Rover Range Rover,0.0
94,Land Rover Range Rover Evoque,0.0
95,Land Rover Range Rover Sport,0.0
96,Land Rover Range Rover Velar,0.0
97,Lexus CT,0.0
98,Lexus Seria NX,0.0
99,Lexus Seria RX,0.0
100,MG ZS,0.0
102,Mazda 5,0.0
103,Mazda 6,0.0
106,Mazda CX-5,0.0
90,Kia Sorento,0.0
107,Mercedes-Benz A,0.0
108,Mercedes-Benz AMG GT,0.0
109,Mercedes-Benz B,0.0
110,Mercedes-Benz C,0.0
111,Mercedes-Benz CLA,0.0
112,Mercedes-Benz CLS,0.0
113,Mercedes-Benz E,0.0
114,Mercedes-Benz G,0.0
115,Mercedes-Benz GLA,0.0
1,Alfa Romeo Stelvio,0.0
117,Mercedes-Benz GLC,0.0
91,Kia Sportage,0.0
89,Kia Ceed,0.0
60,Ford Edge,0.0
74,Honda Civic,0.0
63,Ford Galaxy,0.0
64,Ford Kuga,0.0
65,Ford Mondeo,0.0
66,Ford Mustang,0.0
67,Ford Puma,0.0
68,Ford Ranger,0.0
69,Ford S-Max,0.0
70,Ford Transit,0.0
71,Ford Transit Connect,0.0
72,Ford Transit Custom,0.0
73,Honda CR-V,0.0
75,Hyundai KONA,0.0
88,Jeep Wrangler,0.0
76,Hyundai Santa Fe,0.0
77,Hyundai Tucson,0.0
78,Hyundai i10,0.0
79,Hyundai i20,0.0
81,Hyundai i40,0.0
82,Hyundai ix35,0.0
83,Jaguar E-Pace,0.0
84,Jaguar F-Pace,0.0
85,Jaguar XE,0.0
86,Jeep Compass,0.0
87,Jeep Grand Cherokee,0.0
231,Volvo XC 90,0.0
